,PIN,SalePrice,YearSold,Stories,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtUnfinFull,SqFtUnfinHalf,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSource,BrickStone,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpAdditional,YrBuilt,PcntComplete,Obsolescence,PcntNetCondition,Longitude,Latitude,Trail,Lake,Assisted Living,Housing Development,Other Great Outdoors,Elementary School,Scenic Lookout,Park,General Entertainment,Event Space,Mexican Restaurant,Vietnamese Restaurant,Gas Station,Dive Bar,Pool,Church,Baseball Field,Convenience Store,Middle School,Grocery Store,Brewery,Bar,Residential Building (Apartment / Condo),Post Office,Playground,Coworking Space,Beach,Medical Center,Nail Salon,Gym / Fitness Center,Farmers Market,Building,Preschool,Café,Gym,Library,Intersection,Farm,Community Center,Golf Course,High School,Bridge,Automotive Shop,Supermarket,School,Coffee Shop,Airport,Dog Run,Pizza Place,Pharmacy,Bank,Fast Food Restaurant,Beer Bar,Pet Store,Doctor's Office,Food Truck,Professional & Other Places,Garden,Mobile Phone Shop,Miscellaneous Shop,Cemetery,Bus Stop,Salon / Barbershop,Laundry Service,Dentist's Office,Tech Startup,Auto Dealership,Veterinarian,Thrift / Vintage Store,American Restaurant,Bakery,Moving Target,Sandwich Place,Furniture / Home Store,Bus Line,Bus Station,Thai Restaurant,Marijuana Dispensary,Car Wash,Yoga Studio,Pet Service,Office,Rental Car Location,Restaurant,Pub,Home Service,Shipping Store,Field,Physical Therapist,Martial Arts Dojo,Bed & Breakfast,Storage Facility,Real Estate Office,Daycare,General Travel,Hardware Store,ATM,Burger Joint,Spa,Financial or Legal Service,Chiropractor,Discount Store,Taco Place,Lawyer,Ice Cream Shop,Fried Chicken Joint,Chinese Restaurant,Locksmith,Video Store,Massage Studio,Insurance Office,Business Service,Eye Doctor,BldgGrade_3,BldgGrade_4,BldgGrade_5,BldgGrade_6,BldgGrade_7,BldgGrade_8,BldgGrade_9,BldgGrade_10,BldgGrade_11,BldgGrade_12,FinBasementGrade_0,FinBasementGrade_3,FinBasementGrade_4,FinBasementGrade_5,FinBasementGrade_6,FinBasementGrade_7,FinBasementGrade_8,FinBasementGrade_9,FinBasementGrade_10,FinBasementGrade_11,HeatSystem_0,HeatSystem_1,HeatSystem_2,HeatSystem_3,HeatSystem_4,HeatSystem_5,HeatSystem_6,HeatSystem_7,HeatSystem_8,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5
10,328820130,656500,2017,1.0,2310,0,0,0,0,0,2310,0,0,0,440,0.0,40,0,320,2,0,3,0,0,2,1,0,1967,0,0,0,-122.1841944,47.7303893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,25980840,675000,2018,1.0,1330,0,0,0,0,0,1970,1310,640,530,0,1.0,0,0,150,2,0,4,1,1,1,0,1,1965,0,0,0,-122.1157359,47.6288292,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,382410271,415000,2016,1.0,1420,0,0,0,0,0,1750,1370,330,530,0,1.0,0,0,390,1,0,3,0,1,1,0,1,1960,0,0,0,-122.251946,47.7716141,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,2623069080,553000,2017,2.0,1580,0,290,0,0,0,1870,0,0,0,930,0.0,0,0,0,3,0,2,1,2,0,0,0,1981,0,0,0,-122.0117084,47.4537343,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14,734560715,160000,2016,1.5,1020,410,0,0,0,0,1430,1020,0,0,0,0.48778103616813295,190,0,0,1,0,4,0,0,1,0,0,1922,0,0,0,-122.2861955,47.4897861,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,72129020,299000,2018,1.0,1120,0,0,0,0,0,1120,390,0,0,0,0.48778103616813295,0,0,0,2,0,2,0,0,1,1,0,1944,0,0,0,-122.281837,47.46661410000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,133680815,1210000,2018,2.0,770,0,770,0,0,0,1540,340,0,0,0,0.0,110,0,0,1,0,3,0,1,1,1,0,1900,0,0,0,-122.307618,47.6250753,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
17,287710616,705000,2019,1.5,1060,490,0,0,0,0,1550,520,0,0,0,0.0,0,0,0,1,0,2,0,0,1,0,0,1921,0,0,0,-122.3582545,47.6776218,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,259750150,337950,2018,1.0,1730,0,0,0,0,0,1730,0,0,0,460,0.0,0,0,0,2,0,4,0,0,2,1,0,1967,0,0,0,-122.193943,47.2862944,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,95401035,360000,2016,1.0,1450,0,0,0,0,0,1450,0,0,0,0,0.0,0,0,0,1,0,3,0,1,1,1,0,1954,0,0,0,-122.3593023,47.7621314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
